# file = "data/output_9.csv"
# samples = 1000
# randomize = 10
# -----
outcome,length,chain
"Success",3,"8;4;8"
"Success",1,"7"
"Success",3,"6;11;6"
"Fail",10,"6;2;10;8;5;10;4;4;10;7"
"Success",3,"9;6;9"
"Fail",4,"4;9;9;7"
"Fail",2,"9;7"
"Fail",1,"3"
"Success",9,"4;9;3;9;9;9;8;6;4"
"Success",1,"7"
"Success",4,"8;9;5;8"
"Success",3,"9;11;9"
"Success",10,"8;12;9;10;10;5;5;5;9;8"
"Success",1,"7"
"Fail",2,"8;7"
"Fail",1,"3"
"Success",10,"9;11;4;4;6;8;12;4;4;9"
"Success",2,"4;4"
"Success",1,"11"
"Success",1,"7"
"Fail",1,"12"
"Fail",2,"10;7"
"Success",2,"6;6"
"Success",7,"9;5;11;11;5;6;9"
"Fail",11,"8;12;5;6;9;5;6;11;9;9;7"
"Success",1,"11"
"Fail",2,"8;7"
"Fail",3,"10;4;7"
"Fail",3,"8;9;7"
"Success",1,"11"
"Success",7,"6;9;3;8;4;5;6"
"Fail",1,"3"
"Success",1,"7"
"Fail",1,"2"
"Success",1,"7"
"Fail",4,"5;9;12;7"
"Fail",3,"8;3;7"
"Success",3,"9;3;9"
"Success",1,"7"
"Success",1,"7"
"Success",3,"5;6;5"
"Success",1,"7"
"Success",3,"6;8;6"
"Success",3,"8;5;8"
"Fail",17,"4;6;8;8;3;6;5;10;5;12;8;6;6;6;6;2;7"
"Success",5,"6;8;3;2;6"
"Fail",7,"5;6;6;4;8;8;7"
"Fail",1,"12"
"Fail",4,"4;10;5;7"
"Fail",4,"6;8;10;7"
"Fail",2,"8;7"
"Success",1,"7"
"Success",4,"8;6;4;8"
"Fail",1,"3"
"Success",7,"4;10;3;5;8;6;4"
"Fail",9,"6;8;4;9;11;3;11;9;7"
"Fail",4,"6;8;9;7"
"Success",4,"4;8;5;4"
"Success",2,"6;6"
"Success",1,"7"
"Success",12,"10;9;6;9;5;9;2;2;9;11;9;10"
"Fail",1,"3"
"Success",12,"4;6;9;9;2;6;5;8;9;10;12;4"
"Success",3,"8;6;8"
"Fail",6,"9;5;12;6;8;7"
"Success",6,"5;12;8;2;3;5"
"Success",1,"7"
"Success",1,"11"
"Success",5,"6;10;9;9;6"
"Success",6,"6;9;5;9;4;6"
"Fail",3,"5;11;7"
"Success",2,"6;6"
"Fail",6,"6;4;9;9;9;7"
"Success",1,"7"
"Fail",1,"3"
"Success",1,"11"
"Fail",1,"3"
"Fail",1,"2"
"Success",5,"9;5;4;10;9"
"Fail",2,"6;7"
"Success",1,"7"
"Fail",6,"4;11;9;10;8;7"
"Success",10,"8;5;5;6;9;10;6;4;9;8"
"Fail",12,"5;8;3;2;2;2;8;4;4;9;11;7"
"Success",4,"6;11;9;6"
"Fail",5,"6;5;3;8;7"
"Fail",2,"8;7"
"Fail",8,"9;10;4;12;8;6;10;7"
"Success",5,"9;6;4;6;9"
"Success",3,"9;5;9"
"Fail",1,"3"
"Success",2,"9;9"
"Success",1,"11"
"Fail",2,"10;7"
"Success",9,"10;3;6;5;6;8;9;8;10"
"Fail",5,"10;8;6;11;7"
"Fail",1,"12"
"Fail",9,"4;5;8;5;5;3;10;5;7"
"Success",6,"10;6;11;6;12;10"
"Success",1,"11"
"Success",3,"5;6;5"
"Success",3,"4;2;4"
"Fail",1,"2"
"Fail",2,"6;7"
"Fail",1,"3"
"Success",1,"11"
"Success",1,"7"
"Success",4,"8;10;11;8"
"Fail",1,"3"
"Fail",2,"4;7"
"Success",1,"7"
"Success",1,"11"
"Fail",2,"8;7"
"Success",7,"5;11;4;9;9;6;5"
"Fail",2,"6;7"
"Success",1,"11"
"Fail",6,"5;8;6;10;10;7"
"Success",4,"6;3;12;6"
"Success",10,"10;8;2;6;11;9;12;3;8;10"
"Success",1,"7"
"Fail",5,"5;9;8;9;7"
"Fail",15,"10;12;8;9;4;9;5;6;12;5;9;4;5;11;7"
"Success",3,"8;9;8"
"Success",9,"8;6;9;4;4;4;11;2;8"
"Fail",3,"8;6;7"
"Success",2,"8;8"
"Success",3,"5;6;5"
"Success",1,"7"
"Success",7,"6;11;4;8;5;8;6"
"Fail",3,"8;6;7"
"Success",2,"4;4"
"Fail",2,"6;7"
"Fail",14,"5;3;8;6;6;11;10;6;8;9;4;6;8;7"
"Fail",1,"12"
"Fail",10,"8;4;6;10;6;9;2;5;10;7"
"Success",6,"5;10;4;10;8;5"
"Success",1,"7"
"Success",1,"7"
"Fail",1,"12"
"Fail",2,"5;7"
"Fail",2,"9;7"
"Success",5,"6;5;3;4;6"
"Success",5,"5;9;4;4;5"
"Fail",9,"5;8;9;8;4;8;8;8;7"
"Fail",1,"3"
"Fail",9,"10;5;5;6;5;4;8;4;7"
"Success",1,"7"
"Success",1,"7"
"Fail",2,"10;7"
"Success",1,"7"
"Fail",3,"9;4;7"
"Success",2,"6;6"
"Success",1,"7"
"Fail",18,"4;8;11;11;8;9;11;3;8;9;5;11;11;5;5;10;2;7"
"Fail",8,"9;8;6;4;11;4;5;7"
"Fail",7,"6;2;3;12;5;8;7"
"Fail",3,"10;5;7"
"Success",3,"8;4;8"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Success",4,"9;8;10;9"
"Fail",2,"9;7"
"Success",2,"9;9"
"Success",3,"8;11;8"
"Success",2,"6;6"
"Fail",1,"3"
"Fail",5,"8;3;10;10;7"
"Fail",5,"5;10;11;11;7"
"Fail",1,"12"
"Fail",7,"6;10;10;9;3;3;7"
"Success",5,"10;4;4;8;10"
"Success",9,"8;3;6;6;10;4;5;10;8"
"Fail",8,"4;8;5;5;6;10;6;7"
"Fail",5,"8;6;12;6;7"
"Fail",4,"5;6;3;7"
"Fail",2,"5;7"
"Fail",4,"5;8;10;7"
"Success",2,"9;9"
"Fail",5,"9;4;10;8;7"
"Success",1,"7"
"Fail",2,"9;7"
"Success",2,"5;5"
"Fail",6,"9;3;8;5;6;7"
"Success",1,"7"
"Success",3,"4;6;4"
"Success",13,"5;2;6;3;8;3;6;8;8;6;6;8;5"
"Success",1,"7"
"Success",5,"5;6;9;9;5"
"Success",1,"7"
"Fail",2,"5;7"
"Fail",9,"4;5;5;9;10;8;3;8;7"
"Success",3,"6;3;6"
"Fail",4,"6;11;4;7"
"Success",2,"5;5"
"Fail",1,"2"
"Fail",1,"2"
"Success",2,"6;6"
"Fail",2,"5;7"
"Fail",6,"4;10;11;11;6;7"
"Fail",2,"6;7"
"Fail",4,"9;10;8;7"
"Success",2,"9;9"
"Fail",1,"3"
"Success",1,"7"
"Fail",4,"5;11;10;7"
"Fail",3,"8;5;7"
"Success",1,"11"
"Success",2,"9;9"
"Fail",1,"3"
"Success",7,"6;9;11;10;10;9;6"
"Fail",2,"10;7"
"Fail",7,"9;10;6;10;11;6;7"
"Success",1,"7"
"Fail",3,"8;2;7"
"Success",1,"7"
"Fail",2,"9;7"
"Success",2,"8;8"
"Success",1,"7"
"Success",5,"5;10;10;2;5"
"Fail",2,"6;7"
"Fail",6,"10;6;4;9;4;7"
"Fail",1,"3"
"Fail",4,"10;11;12;7"
"Fail",1,"3"
"Fail",2,"10;7"
"Success",1,"7"
"Success",1,"7"
"Success",1,"11"
"Fail",1,"2"
"Fail",1,"3"
"Success",4,"8;5;6;8"
"Success",2,"10;10"
"Success",2,"6;6"
"Fail",2,"4;7"
"Success",5,"10;12;11;9;10"
"Success",3,"5;10;5"
"Fail",5,"6;4;11;10;7"
"Fail",5,"8;6;6;10;7"
"Success",1,"11"
"Fail",3,"9;6;7"
"Fail",6,"4;2;9;5;3;7"
"Fail",2,"8;7"
"Fail",5,"9;3;8;8;7"
"Fail",1,"2"
"Fail",4,"4;9;8;7"
"Fail",1,"3"
"Success",1,"11"
"Success",6,"6;10;3;9;4;6"
"Fail",6,"8;3;10;4;9;7"
"Fail",3,"8;10;7"
"Fail",1,"2"
"Success",1,"7"
"Fail",3,"10;11;7"
"Success",5,"6;5;5;9;6"
"Success",1,"7"
"Success",1,"7"
"Success",2,"8;8"
"Success",1,"7"
"Success",1,"11"
"Fail",8,"9;5;8;6;5;8;3;7"
"Fail",3,"8;4;7"
"Success",1,"7"
"Fail",1,"2"
"Fail",2,"6;7"
"Fail",2,"8;7"
"Success",1,"7"
"Fail",1,"12"
"Success",3,"9;10;9"
"Success",11,"9;10;4;3;4;12;5;5;3;6;9"
"Success",1,"11"
"Success",1,"11"
"Success",3,"5;6;5"
"Fail",5,"8;6;11;3;7"
"Success",3,"4;8;4"
"Fail",1,"2"
"Fail",4,"6;9;9;7"
"Fail",8,"5;6;9;8;3;6;4;7"
"Fail",1,"2"
"Success",3,"4;12;4"
"Fail",2,"8;7"
"Success",1,"11"
"Fail",1,"2"
"Fail",2,"10;7"
"Success",7,"6;9;5;9;8;10;6"
"Success",1,"11"
"Success",2,"9;9"
"Fail",4,"8;9;10;7"
"Fail",8,"8;10;6;11;12;9;9;7"
"Success",1,"11"
"Success",1,"7"
"Fail",1,"2"
"Fail",4,"10;6;6;7"
"Success",1,"7"
"Success",8,"8;9;2;2;11;6;9;8"
"Fail",5,"6;2;8;10;7"
"Fail",1,"2"
"Fail",7,"5;3;11;9;6;9;7"
"Fail",7,"5;10;6;6;3;8;7"
"Success",3,"5;2;5"
"Success",3,"6;8;6"
"Success",1,"11"
"Fail",2,"10;7"
"Fail",5,"5;10;10;10;7"
"Success",8,"9;5;5;8;2;6;8;9"
"Fail",4,"8;2;9;7"
"Success",4,"8;5;5;8"
"Fail",3,"9;6;7"
"Fail",1,"3"
"Fail",8,"6;4;12;8;2;4;4;7"
"Success",1,"7"
"Fail",1,"12"
"Success",2,"8;8"
"Success",4,"5;8;6;5"
"Fail",1,"3"
"Success",6,"5;3;10;3;12;5"
"Success",1,"7"
"Fail",6,"5;8;6;8;9;7"
"Success",1,"7"
"Fail",2,"4;7"
"Success",1,"7"
"Fail",1,"2"
"Fail",2,"4;7"
"Fail",2,"4;7"
"Fail",2,"10;7"
"Fail",3,"10;4;7"
"Success",1,"7"
"Success",2,"8;8"
"Success",1,"11"
"Fail",1,"3"
"Fail",1,"3"
"Success",3,"10;4;10"
"Fail",3,"10;8;7"
"Success",1,"7"
"Fail",2,"6;7"
"Success",2,"8;8"
"Success",6,"4;11;2;6;10;4"
"Fail",4,"10;11;3;7"
"Fail",1,"2"
"Fail",4,"5;10;10;7"
"Fail",1,"2"
"Fail",2,"9;7"
"Fail",1,"3"
"Success",1,"7"
"Fail",11,"6;3;8;11;5;10;9;8;8;11;7"
"Success",3,"9;6;9"
"Fail",1,"3"
"Fail",4,"5;6;11;7"
"Fail",2,"4;7"
"Fail",4,"6;11;8;7"
"Fail",6,"8;3;6;10;6;7"
"Success",5,"6;9;5;2;6"
"Success",3,"6;2;6"
"Success",4,"6;9;12;6"
"Success",3,"9;11;9"
"Success",5,"8;5;6;4;8"
"Fail",9,"9;6;10;5;4;5;6;12;7"
"Success",1,"11"
"Fail",5,"9;12;5;11;7"
"Success",5,"6;12;5;8;6"
"Fail",1,"2"
"Fail",6,"8;4;9;5;2;7"
"Success",3,"8;10;8"
"Success",3,"9;10;9"
"Fail",4,"6;4;5;7"
"Fail",1,"3"
"Success",1,"7"
"Fail",5,"10;6;9;4;7"
"Success",1,"7"
"Fail",1,"3"
"Success",1,"11"
"Success",3,"6;5;6"
"Success",2,"4;4"
"Success",3,"8;6;8"
"Fail",17,"6;11;3;9;11;3;10;3;9;10;10;9;5;9;8;5;7"
"Fail",1,"2"
"Success",1,"7"
"Fail",6,"10;5;11;6;2;7"
"Success",2,"5;5"
"Success",1,"7"
"Success",7,"6;9;11;8;3;11;6"
"Fail",4,"9;8;2;7"
"Fail",4,"6;3;12;7"
"Success",2,"6;6"
"Fail",9,"6;4;4;10;5;5;4;3;7"
"Fail",6,"5;4;9;6;6;7"
"Fail",3,"6;2;7"
"Fail",2,"9;7"
"Fail",3,"5;6;7"
"Fail",3,"6;9;7"
"Success",4,"9;11;11;9"
"Fail",3,"8;5;7"
"Success",1,"11"
"Success",1,"7"
"Fail",3,"4;8;7"
"Fail",4,"6;9;4;7"
"Fail",6,"8;5;4;6;9;7"
"Success",1,"7"
"Success",2,"4;4"
"Fail",2,"8;7"
"Fail",2,"8;7"
"Success",1,"7"
"Fail",11,"9;5;5;4;6;4;8;5;4;8;7"
"Fail",5,"6;8;10;5;7"
"Success",1,"7"
"Fail",5,"4;9;11;5;7"
"Success",1,"7"
"Success",2,"6;6"
"Success",1,"7"
"Fail",1,"12"
"Success",10,"4;6;8;10;8;3;5;8;5;4"
"Success",2,"6;6"
"Success",1,"7"
"Success",2,"5;5"
"Success",5,"10;4;9;5;10"
"Success",3,"8;6;8"
"Success",1,"7"
"Success",5,"5;9;6;8;5"
"Fail",3,"6;9;7"
"Success",7,"5;8;6;11;10;8;5"
"Success",1,"7"
"Success",2,"4;4"
"Fail",5,"5;4;8;9;7"
"Fail",4,"5;6;3;7"
"Success",1,"7"
"Fail",7,"10;3;4;8;5;4;7"
"Success",1,"7"
"Fail",2,"5;7"
"Fail",2,"6;7"
"Fail",7,"8;6;9;6;6;4;7"
"Fail",3,"8;10;7"
"Fail",2,"6;7"
"Success",3,"8;4;8"
"Fail",5,"4;9;8;6;7"
"Success",1,"7"
"Fail",6,"5;8;4;4;6;7"
"Success",3,"6;8;6"
"Success",1,"7"
"Fail",1,"2"
"Fail",7,"5;12;8;11;4;4;7"
"Fail",1,"3"
"Fail",2,"10;7"
"Fail",6,"4;10;8;8;9;7"
"Success",4,"10;5;6;10"
"Success",1,"7"
"Success",6,"5;10;9;4;8;5"
"Fail",3,"8;12;7"
"Fail",1,"3"
"Success",9,"6;8;9;9;8;4;8;12;6"
"Success",6,"4;10;6;8;10;4"
"Success",4,"9;8;5;9"
"Success",2,"6;6"
"Fail",3,"6;5;7"
"Fail",4,"5;3;9;7"
"Fail",7,"4;6;9;3;6;8;7"
"Fail",7,"8;6;10;5;5;4;7"
"Fail",5,"10;5;4;5;7"
"Fail",3,"5;6;7"
"Success",1,"7"
"Fail",6,"8;12;5;3;4;7"
"Fail",4,"10;6;8;7"
"Success",6,"5;4;6;9;11;5"
"Success",2,"5;5"
"Fail",1,"12"
"Fail",2,"8;7"
"Fail",2,"9;7"
"Fail",6,"6;5;5;5;8;7"
"Success",2,"10;10"
"Success",3,"9;2;9"
"Success",5,"4;11;5;8;4"
"Success",3,"5;10;5"
"Success",1,"7"
"Fail",3,"8;5;7"
"Success",4,"8;9;12;8"
"Success",4,"10;8;4;10"
"Fail",1,"12"
"Fail",5,"8;6;10;11;7"
"Success",6,"6;4;8;9;5;6"
"Success",1,"11"
"Success",5,"6;11;2;3;6"
"Fail",3,"8;9;7"
"Fail",1,"2"
"Fail",6,"6;9;8;11;5;7"
"Success",1,"7"
"Fail",2,"4;7"
"Success",4,"9;6;11;9"
"Success",1,"7"
"Success",1,"7"
"Fail",4,"6;9;11;7"
"Success",2,"9;9"
"Fail",6,"9;5;12;5;11;7"
"Fail",7,"10;6;5;8;8;5;7"
"Fail",4,"5;6;6;7"
"Fail",1,"12"
"Success",2,"6;6"
"Success",6,"4;10;9;8;5;4"
"Success",3,"8;4;8"
"Success",1,"7"
"Fail",3,"8;9;7"
"Success",4,"10;6;8;10"
"Success",1,"7"
"Fail",3,"9;6;7"
"Fail",2,"9;7"
"Fail",4,"10;9;5;7"
"Fail",4,"6;4;8;7"
"Fail",9,"9;5;6;6;6;8;12;4;7"
"Success",6,"8;10;11;6;10;8"
"Success",1,"7"
"Success",9,"8;6;4;5;5;6;4;2;8"
"Fail",1,"2"
"Fail",1,"12"
"Success",4,"10;4;8;10"
"Fail",2,"4;7"
"Fail",5,"6;4;8;9;7"
"Success",5,"9;5;8;12;9"
"Success",3,"8;3;8"
"Success",3,"5;4;5"
"Success",3,"5;4;5"
"Fail",1,"2"
"Fail",2,"10;7"
"Fail",2,"4;7"
"Success",5,"6;8;4;5;6"
"Fail",1,"3"
"Success",1,"7"
"Fail",2,"8;7"
"Success",1,"7"
"Fail",7,"10;8;11;2;11;8;7"
"Fail",4,"4;12;6;7"
"Fail",5,"10;5;8;8;7"
"Fail",13,"8;4;4;9;9;5;4;9;6;6;4;6;7"
"Success",1,"11"
"Success",1,"7"
"Fail",4,"10;3;8;7"
"Fail",3,"5;10;7"
"Fail",4,"8;11;4;7"
"Fail",4,"8;10;5;7"
"Fail",4,"5;4;10;7"
"Success",3,"6;5;6"
"Fail",2,"6;7"
"Fail",3,"8;4;7"
"Fail",4,"8;9;5;7"
"Fail",1,"12"
"Fail",9,"6;10;8;8;11;9;10;8;7"
"Fail",3,"9;3;7"
"Fail",4,"5;11;11;7"
"Fail",1,"3"
"Fail",1,"3"
"Fail",2,"9;7"
"Fail",5,"10;11;5;9;7"
"Fail",6,"9;6;11;5;8;7"
"Fail",1,"3"
"Fail",1,"12"
"Fail",1,"3"
"Success",1,"7"
"Success",1,"11"
"Success",1,"7"
"Success",1,"7"
"Fail",1,"3"
"Success",1,"7"
"Fail",1,"3"
"Success",2,"4;4"
"Success",1,"11"
"Fail",2,"4;7"
"Fail",3,"6;11;7"
"Fail",8,"9;4;11;8;4;6;5;7"
"Fail",3,"10;3;7"
"Fail",2,"10;7"
"Fail",3,"4;5;7"
"Success",1,"7"
"Success",1,"7"
"Success",1,"11"
"Fail",2,"8;7"
"Success",2,"8;8"
"Fail",19,"9;4;8;6;6;8;10;6;5;4;3;5;4;8;5;4;4;5;7"
"Fail",3,"9;4;7"
"Fail",1,"12"
"Success",1,"7"
"Fail",5,"4;8;5;6;7"
"Success",1,"7"
"Fail",4,"6;11;10;7"
"Fail",2,"4;7"
"Fail",12,"8;5;12;10;3;4;9;6;4;10;4;7"
"Success",2,"10;10"
"Success",2,"4;4"
"Success",23,"5;8;3;8;10;9;6;9;9;6;10;2;10;9;9;10;9;2;4;2;4;2;5"
"Success",1,"7"
"Fail",6,"9;4;6;4;5;7"
"Fail",4,"5;10;10;7"
"Success",4,"8;10;11;8"
"Fail",3,"4;10;7"
"Success",4,"8;4;4;8"
"Fail",2,"9;7"
"Fail",2,"8;7"
"Fail",1,"3"
"Success",2,"6;6"
"Fail",7,"8;11;9;11;6;11;7"
"Success",2,"5;5"
"Success",1,"11"
"Fail",5,"6;4;5;4;7"
"Fail",9,"5;10;8;11;8;6;3;6;7"
"Success",1,"7"
"Fail",8,"9;8;12;5;6;8;6;7"
"Fail",4,"10;9;11;7"
"Success",1,"11"
"Success",4,"9;5;6;9"
"Success",3,"6;4;6"
"Success",7,"8;6;12;4;10;5;8"
"Fail",5,"6;9;8;10;7"
"Fail",4,"10;8;6;7"
"Success",1,"7"
"Success",4,"5;2;3;5"
"Fail",4,"8;6;6;7"
"Success",5,"6;10;11;5;6"
"Fail",6,"6;12;10;11;8;7"
"Fail",3,"5;8;7"
"Success",8,"6;9;12;10;8;8;4;6"
"Fail",3,"5;3;7"
"Success",10,"6;11;9;3;10;4;9;2;5;6"
"Fail",12,"6;3;5;5;8;11;3;2;10;8;10;7"
"Fail",2,"5;7"
"Success",1,"11"
"Fail",1,"3"
"Fail",3,"9;2;7"
"Fail",4,"10;12;2;7"
"Success",5,"6;9;5;5;6"
"Success",1,"7"
"Success",4,"9;4;4;9"
"Success",3,"6;8;6"
"Success",1,"7"
"Fail",2,"4;7"
"Fail",1,"12"
"Fail",1,"12"
"Fail",1,"3"
"Success",16,"5;9;10;9;6;9;6;4;2;9;6;9;3;8;8;5"
"Success",1,"11"
"Fail",10,"10;8;4;9;2;8;4;4;9;7"
"Fail",1,"2"
"Fail",2,"8;7"
"Success",7,"6;8;8;8;10;8;6"
"Fail",1,"3"
"Success",1,"7"
"Success",4,"6;5;3;6"
"Fail",4,"4;8;5;7"
"Fail",4,"5;11;12;7"
"Success",5,"4;8;9;6;4"
"Success",3,"8;9;8"
"Success",1,"11"
"Fail",6,"5;11;2;6;8;7"
"Fail",2,"8;7"
"Fail",2,"4;7"
"Fail",3,"10;3;7"
"Success",1,"7"
"Fail",3,"10;5;7"
