# file = "data/ch14/sample_5.csv"
# samples = 1000
# randomize = 6
# -----
outcome,length,chain
"Fail",6,"9;6;10;6;11;7"
"Fail",1,"3"
"Fail",4,"6;11;9;7"
"Fail",3,"5;9;7"
"Success",1,"7"
"Success",2,"6;6"
"Success",9,"10;4;12;6;4;5;5;8;10"
"Success",1,"11"
"Success",1,"7"
"Success",1,"7"
"Fail",1,"3"
"Fail",2,"4;7"
"Success",1,"11"
"Fail",2,"5;7"
"Success",1,"7"
"Fail",5,"10;3;4;8;7"
"Success",1,"7"
"Success",9,"6;3;4;9;9;10;5;8;6"
"Fail",8,"8;9;2;5;6;6;10;7"
"Success",2,"5;5"
"Fail",9,"9;6;8;10;8;8;11;6;7"
"Success",1,"11"
"Fail",1,"12"
"Fail",3,"4;10;7"
"Fail",8,"6;5;9;3;4;9;8;7"
"Success",7,"5;2;4;9;10;3;5"
"Fail",2,"4;7"
"Fail",2,"6;7"
"Fail",5,"9;4;6;11;7"
"Fail",3,"5;8;7"
"Fail",3,"8;3;7"
"Fail",5,"10;11;6;5;7"
"Fail",12,"4;8;3;6;9;8;10;6;8;12;11;7"
"Fail",2,"6;7"
"Success",1,"11"
"Fail",2,"8;7"
"Success",3,"8;4;8"
"Success",2,"9;9"
"Fail",12,"10;6;2;5;11;5;8;6;11;8;6;7"
"Fail",3,"5;6;7"
"Fail",4,"10;2;6;7"
"Fail",3,"9;6;7"
"Success",1,"7"
"Success",1,"7"
"Success",1,"11"
"Fail",1,"3"
"Fail",8,"9;6;5;6;6;10;6;7"
"Fail",2,"4;7"
"Success",4,"9;6;5;9"
"Success",2,"6;6"
"Success",1,"7"
"Fail",2,"10;7"
"Fail",7,"6;11;4;8;12;3;7"
"Success",6,"4;8;6;5;6;4"
"Fail",7,"5;8;8;9;4;8;7"
"Fail",5,"9;11;8;5;7"
"Fail",6,"4;6;6;6;8;7"
"Fail",2,"6;7"
"Fail",3,"6;8;7"
"Success",1,"7"
"Success",4,"9;6;10;9"
"Success",3,"9;8;9"
"Success",4,"9;10;10;9"
"Success",2,"9;9"
"Success",2,"6;6"
"Fail",4,"6;10;10;7"
"Fail",4,"5;8;9;7"
"Fail",9,"6;10;5;5;3;10;5;9;7"
"Success",2,"8;8"
"Success",1,"11"
"Success",2,"4;4"
"Fail",2,"5;7"
"Success",1,"7"
"Success",3,"10;6;10"
"Success",2,"8;8"
"Fail",3,"6;8;7"
"Fail",2,"5;7"
"Fail",1,"3"
"Fail",9,"4;9;5;5;8;10;12;11;7"
"Fail",2,"9;7"
"Fail",1,"3"
"Fail",4,"6;12;9;7"
"Fail",6,"5;9;9;4;11;7"
"Success",7,"8;6;6;9;10;2;8"
"Fail",2,"8;7"
"Fail",5,"6;5;12;10;7"
"Success",4,"8;10;9;8"
"Fail",4,"5;11;3;7"
"Fail",3,"6;5;7"
"Success",6,"9;5;8;4;6;9"
"Fail",1,"2"
"Success",5,"6;8;3;4;6"
"Success",2,"8;8"
"Success",4,"10;8;9;10"
"Fail",1,"2"
"Fail",6,"4;5;6;6;11;7"
"Fail",1,"3"
"Fail",1,"12"
"Fail",8,"5;10;3;6;6;8;4;7"
"Success",1,"11"
"Fail",1,"3"
"Fail",6,"5;4;8;10;10;7"
"Fail",1,"3"
"Success",3,"9;4;9"
"Fail",1,"2"
"Success",1,"7"
"Success",1,"11"
"Success",3,"8;3;8"
"Success",1,"7"
"Success",1,"7"
"Fail",4,"10;11;6;7"
"Success",1,"7"
"Fail",1,"3"
"Fail",5,"9;5;11;5;7"
"Success",6,"6;9;9;9;9;6"
"Fail",5,"6;8;12;8;7"
"Success",3,"5;8;5"
"Fail",1,"3"
"Fail",1,"2"
"Fail",2,"4;7"
"Fail",2,"5;7"
"Fail",2,"5;7"
"Fail",12,"6;10;11;9;9;5;8;4;4;9;10;7"
"Fail",12,"6;5;8;3;4;12;4;4;5;2;8;7"
"Fail",3,"4;9;7"
"Success",3,"6;10;6"
"Success",1,"7"
"Fail",2,"5;7"
"Fail",11,"5;3;4;10;11;4;8;6;9;4;7"
"Fail",5,"9;3;4;8;7"
"Fail",1,"3"
"Fail",1,"12"
"Success",1,"7"
"Success",12,"8;12;10;5;3;6;11;3;9;10;2;8"
"Success",2,"4;4"
"Success",1,"11"
"Success",2,"10;10"
"Fail",4,"5;6;9;7"
"Success",3,"6;9;6"
"Success",2,"10;10"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Fail",2,"9;7"
"Success",1,"7"
"Fail",2,"6;7"
"Success",1,"7"
"Success",1,"7"
"Success",3,"8;5;8"
"Success",1,"11"
"Fail",4,"9;3;3;7"
"Fail",1,"12"
"Fail",10,"9;4;6;11;3;6;4;10;5;7"
"Fail",4,"10;9;6;7"
"Fail",9,"5;6;8;3;12;8;10;11;7"
"Fail",3,"6;8;7"
"Success",1,"11"
"Fail",16,"5;8;6;3;6;6;3;9;8;6;3;8;4;2;8;7"
"Fail",5,"8;6;9;9;7"
"Success",6,"10;4;5;9;8;10"
"Success",4,"9;2;8;9"
"Fail",1,"12"
"Fail",4,"6;10;5;7"
"Success",5,"4;8;8;12;4"
"Success",3,"8;5;8"
"Fail",3,"5;11;7"
"Success",1,"11"
"Success",3,"5;9;5"
"Fail",3,"9;6;7"
"Success",1,"7"
"Success",2,"8;8"
"Success",5,"5;8;9;6;5"
"Fail",5,"8;11;9;6;7"
"Fail",6,"8;10;11;6;6;7"
"Fail",2,"9;7"
"Success",2,"8;8"
"Success",1,"11"
"Success",3,"4;2;4"
"Fail",6,"5;8;3;8;11;7"
"Fail",3,"8;10;7"
"Success",2,"10;10"
"Success",1,"11"
"Success",1,"7"
"Fail",3,"6;2;7"
"Success",3,"6;5;6"
"Success",5,"6;4;10;9;6"
"Success",1,"7"
"Fail",7,"6;5;3;8;10;10;7"
"Success",1,"7"
"Success",2,"10;10"
"Success",1,"11"
"Success",1,"7"
"Fail",1,"3"
"Fail",1,"3"
"Fail",1,"12"
"Success",2,"10;10"
"Success",1,"11"
"Fail",3,"10;4;7"
"Success",1,"7"
"Fail",2,"9;7"
"Fail",6,"4;6;6;2;6;7"
"Fail",7,"10;9;9;8;11;6;7"
"Fail",4,"8;6;6;7"
"Fail",2,"6;7"
"Fail",2,"6;7"
"Success",5,"8;6;4;6;8"
"Fail",2,"6;7"
"Fail",3,"8;9;7"
"Success",1,"7"
"Success",1,"7"
"Fail",3,"4;8;7"
"Fail",3,"9;4;7"
"Success",2,"5;5"
"Success",1,"11"
"Fail",3,"5;9;7"
"Success",5,"10;9;6;12;10"
"Fail",2,"5;7"
"Fail",5,"5;6;9;6;7"
"Success",1,"7"
"Success",1,"7"
"Fail",2,"9;7"
"Success",1,"7"
"Fail",2,"6;7"
"Fail",1,"3"
"Success",2,"8;8"
"Success",1,"7"
"Success",1,"7"
"Fail",6,"4;2;6;2;9;7"
"Fail",3,"9;10;7"
"Success",1,"7"
"Success",4,"10;3;8;10"
"Success",2,"6;6"
"Success",1,"11"
"Success",8,"8;9;3;4;5;9;6;8"
"Fail",4,"4;5;2;7"
"Fail",11,"10;6;9;5;8;8;5;3;8;8;7"
"Fail",3,"6;8;7"
"Success",1,"7"
"Fail",4,"10;3;9;7"
"Success",2,"6;6"
"Success",4,"9;12;10;9"
"Fail",3,"9;6;7"
"Fail",7,"4;2;5;8;8;9;7"
"Fail",1,"12"
"Success",3,"8;6;8"
"Success",1,"7"
"Success",2,"4;4"
"Fail",17,"8;9;9;6;3;10;2;3;10;5;6;9;4;12;6;5;7"
"Success",1,"7"
"Success",3,"5;8;5"
"Success",6,"8;12;6;6;9;8"
"Fail",2,"9;7"
"Fail",3,"8;9;7"
"Fail",19,"9;8;6;12;6;5;2;2;5;12;8;5;5;10;11;8;8;5;7"
"Fail",2,"5;7"
"Fail",7,"9;5;8;3;11;5;7"
"Success",4,"8;5;4;8"
"Success",3,"9;11;9"
"Fail",1,"3"
"Success",2,"4;4"
"Success",1,"11"
"Fail",4,"5;8;10;7"
"Fail",7,"6;10;9;5;8;4;7"
"Success",1,"7"
"Success",1,"7"
"Fail",1,"3"
"Fail",2,"5;7"
"Success",2,"8;8"
"Fail",3,"4;10;7"
"Success",2,"9;9"
"Fail",5,"9;6;6;5;7"
"Fail",7,"9;5;5;6;4;5;7"
"Success",1,"7"
"Success",1,"7"
"Fail",2,"5;7"
"Success",1,"11"
"Fail",3,"4;11;7"
"Fail",5,"8;3;10;6;7"
"Fail",1,"2"
"Fail",13,"9;6;5;10;11;4;8;5;8;4;5;10;7"
"Success",8,"4;6;9;10;12;6;6;4"
"Success",2,"8;8"
"Fail",4,"6;3;9;7"
"Success",1,"7"
"Fail",1,"12"
"Success",3,"9;3;9"
"Fail",1,"12"
"Fail",2,"9;7"
"Success",1,"7"
"Fail",16,"8;12;9;10;2;5;6;4;6;4;10;6;3;6;11;7"
"Success",1,"7"
"Success",1,"7"
"Fail",1,"12"
"Success",1,"11"
"Fail",1,"2"
"Fail",3,"10;11;7"
"Success",1,"7"
"Fail",2,"4;7"
"Success",2,"6;6"
"Fail",6,"9;3;11;5;8;7"
"Success",1,"11"
"Fail",4,"10;3;8;7"
"Fail",1,"2"
"Fail",1,"2"
"Success",1,"7"
"Success",1,"11"
"Fail",5,"9;4;5;11;7"
"Fail",7,"5;6;10;8;9;8;7"
"Fail",9,"9;2;2;8;5;11;8;6;7"
"Fail",1,"3"
"Fail",12,"4;3;6;3;9;8;6;8;10;9;11;7"
"Fail",1,"12"
"Fail",1,"12"
"Fail",1,"12"
"Success",2,"6;6"
"Success",3,"6;3;6"
"Success",4,"9;6;6;9"
"Success",7,"8;4;5;4;9;6;8"
"Fail",1,"3"
"Fail",3,"4;5;7"
"Success",12,"10;6;5;3;8;6;2;4;4;11;3;10"
"Success",2,"6;6"
"Success",1,"7"
"Success",1,"7"
"Fail",3,"5;8;7"
"Fail",3,"6;9;7"
"Fail",2,"4;7"
"Success",2,"8;8"
"Success",3,"4;5;4"
"Fail",2,"8;7"
"Fail",5,"9;10;11;10;7"
"Success",3,"8;12;8"
"Success",3,"10;4;10"
"Success",8,"9;10;10;11;2;10;6;9"
"Success",11,"6;8;12;10;5;3;8;9;4;9;6"
"Fail",2,"5;7"
"Fail",3,"5;8;7"
"Success",1,"11"
"Success",2,"6;6"
"Success",1,"7"
"Success",2,"6;6"
"Success",2,"6;6"
"Success",1,"7"
"Fail",2,"10;7"
"Success",1,"7"
"Fail",8,"4;5;11;6;6;6;11;7"
"Success",1,"11"
"Fail",3,"4;6;7"
"Fail",1,"3"
"Fail",3,"4;12;7"
"Success",3,"10;5;10"
"Fail",8,"10;8;8;4;6;6;3;7"
"Fail",7,"9;11;3;4;4;12;7"
"Fail",1,"12"
"Success",2,"8;8"
"Success",1,"7"
"Fail",3,"8;12;7"
"Success",12,"9;6;8;4;6;10;5;6;10;10;10;9"
"Success",1,"11"
"Fail",2,"8;7"
"Success",4,"9;6;4;9"
"Success",4,"6;9;4;6"
"Success",2,"9;9"
"Success",6,"6;2;8;12;5;6"
"Fail",12,"6;9;11;10;8;4;5;12;11;5;10;7"
"Fail",16,"10;9;9;12;12;11;8;4;6;8;6;11;6;6;5;7"
"Fail",6,"6;9;10;8;9;7"
"Success",3,"6;5;6"
"Fail",7,"8;3;5;9;5;6;7"
"Fail",2,"6;7"
"Success",1,"11"
"Success",1,"11"
"Fail",4,"6;5;8;7"
"Success",1,"11"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Fail",4,"5;6;4;7"
"Success",1,"7"
"Fail",13,"4;9;6;8;8;9;10;9;9;9;11;8;7"
"Fail",11,"5;6;11;12;6;8;8;11;12;11;7"
"Fail",9,"6;3;8;10;8;9;4;10;7"
"Success",2,"10;10"
"Fail",5,"8;10;6;6;7"
"Fail",5,"5;8;9;9;7"
"Success",1,"7"
"Success",1,"7"
"Fail",3,"8;12;7"
"Success",1,"7"
"Success",2,"8;8"
"Success",5,"8;2;5;6;8"
"Success",1,"11"
"Fail",4,"4;10;5;7"
"Success",4,"5;6;8;5"
"Success",1,"11"
"Fail",3,"9;6;7"
"Fail",2,"5;7"
"Fail",2,"6;7"
"Success",1,"7"
"Fail",6,"10;11;11;9;3;7"
"Fail",4,"6;5;4;7"
"Success",7,"5;10;6;6;6;11;5"
"Success",1,"7"
"Success",4,"9;5;5;9"
"Fail",27,"4;8;10;9;11;8;9;10;6;11;6;9;3;11;6;9;9;9;10;2;3;9;9;3;6;5;7"
"Success",3,"4;10;4"
"Success",5,"4;5;9;3;4"
"Fail",1,"3"
"Success",3,"5;8;5"
"Fail",7,"8;9;9;6;5;3;7"
"Fail",3,"10;8;7"
"Fail",2,"9;7"
"Fail",4,"10;6;4;7"
"Fail",3,"6;9;7"
"Success",14,"5;6;8;4;9;10;11;8;11;8;4;6;10;5"
"Success",1,"11"
"Success",14,"10;9;6;8;5;11;8;6;9;6;4;6;8;10"
"Fail",8,"8;6;10;9;6;6;6;7"
"Success",1,"7"
"Fail",1,"12"
"Fail",7,"10;5;9;5;2;12;7"
"Fail",4,"5;6;6;7"
"Fail",4,"6;3;10;7"
"Fail",2,"8;7"
"Fail",3,"6;9;7"
"Fail",1,"2"
"Fail",2,"10;7"
"Fail",2,"8;7"
"Fail",2,"6;7"
"Fail",19,"4;12;5;6;6;9;10;6;10;6;10;9;5;8;6;10;8;9;7"
"Fail",3,"6;8;7"
"Fail",2,"8;7"
"Fail",1,"3"
"Success",10,"8;10;2;4;3;6;5;6;9;8"
"Success",4,"8;10;9;8"
"Fail",2,"10;7"
"Success",1,"7"
"Success",1,"7"
"Fail",11,"8;10;5;5;5;10;10;3;9;2;7"
"Fail",1,"3"
"Fail",7,"9;10;6;8;6;2;7"
"Success",1,"7"
"Success",3,"6;8;6"
"Success",1,"7"
"Success",1,"7"
"Fail",2,"6;7"
"Success",3,"6;4;6"
"Success",10,"8;3;6;3;12;10;4;6;6;8"
"Fail",3,"8;5;7"
"Fail",2,"5;7"
"Success",11,"5;8;10;4;3;10;2;10;9;9;5"
"Fail",3,"8;4;7"
"Success",1,"7"
"Success",9,"10;6;8;4;5;6;8;5;10"
"Fail",10,"6;8;8;5;8;4;10;5;8;7"
"Success",2,"9;9"
"Success",1,"11"
"Fail",10,"9;5;8;3;11;11;8;8;4;7"
"Fail",1,"3"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Fail",2,"5;7"
"Fail",3,"10;6;7"
"Fail",1,"3"
"Fail",5,"4;3;11;3;7"
"Fail",2,"8;7"
"Success",1,"7"
"Success",1,"7"
"Fail",4,"4;8;10;7"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Fail",4,"8;9;11;7"
"Fail",10,"8;9;11;9;4;4;6;10;3;7"
"Success",3,"6;4;6"
"Success",4,"4;6;8;4"
"Fail",3,"5;8;7"
"Success",1,"7"
"Success",6,"9;3;8;5;10;9"
"Fail",3,"4;5;7"
"Success",1,"11"
"Fail",7,"5;8;11;12;6;4;7"
"Success",2,"6;6"
"Success",3,"6;8;6"
"Fail",3,"9;10;7"
"Fail",1,"3"
"Success",8,"9;5;8;4;3;10;6;9"
"Fail",3,"5;6;7"
"Success",11,"8;9;11;9;3;6;10;9;5;6;8"
"Success",1,"7"
"Success",1,"7"
"Fail",2,"9;7"
"Success",1,"7"
"Success",1,"11"
"Success",1,"7"
"Success",1,"11"
"Success",5,"4;8;8;11;4"
"Fail",5,"5;10;3;11;7"
"Success",3,"9;8;9"
"Success",1,"7"
"Fail",5,"6;4;9;11;7"
"Fail",2,"8;7"
"Success",10,"6;4;8;4;9;4;4;11;9;6"
"Success",1,"11"
"Success",6,"5;6;9;9;12;5"
"Fail",5,"4;6;10;6;7"
"Fail",2,"5;7"
"Fail",4,"10;6;9;7"
"Fail",1,"2"
"Fail",5,"9;3;8;8;7"
"Success",1,"11"
"Fail",3,"9;6;7"
"Success",3,"10;11;10"
"Success",1,"7"
"Success",1,"7"
"Success",7,"8;11;3;5;3;2;8"
"Fail",2,"9;7"
"Fail",3,"4;5;7"
"Fail",6,"6;9;10;5;3;7"
"Success",5,"10;3;6;9;10"
"Success",1,"7"
"Fail",6,"9;5;3;5;5;7"
"Success",2,"6;6"
"Success",1,"7"
"Success",2,"4;4"
"Fail",2,"5;7"
"Fail",1,"3"
"Success",1,"7"
"Success",8,"5;6;11;6;6;4;9;5"
"Fail",4,"8;5;6;7"
"Success",1,"7"
"Fail",1,"3"
"Fail",7,"5;10;6;8;8;4;7"
"Success",5,"8;5;5;3;8"
"Fail",4,"9;4;11;7"
"Fail",2,"5;7"
"Fail",3,"9;10;7"
"Fail",1,"3"
"Success",12,"8;4;11;5;6;11;10;5;6;6;5;8"
"Success",5,"8;10;6;9;8"
"Fail",1,"2"
"Success",1,"11"
"Success",2,"9;9"
"Success",1,"11"
"Success",1,"11"
"Success",1,"7"
"Success",2,"5;5"
"Success",1,"7"
"Fail",1,"3"
"Fail",1,"2"
"Success",1,"11"
"Success",4,"6;8;10;6"
"Success",1,"7"
"Fail",1,"12"
"Success",1,"11"
"Success",2,"8;8"
"Fail",4,"6;10;4;7"
"Success",8,"10;3;6;9;8;11;6;10"
"Fail",2,"9;7"
"Success",1,"7"
"Fail",7,"8;5;9;10;9;11;7"
"Fail",1,"12"
"Fail",2,"10;7"
"Success",5,"9;2;8;4;9"
"Fail",12,"10;8;6;5;8;8;5;4;9;8;6;7"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Success",4,"6;12;4;6"
"Success",1,"7"
"Fail",2,"8;7"
"Success",2,"9;9"
"Fail",3,"4;6;7"
"Success",2,"6;6"
"Success",1,"7"
"Success",8,"4;2;8;6;10;11;6;4"
"Success",1,"7"
"Fail",1,"12"
"Fail",2,"6;7"
"Fail",8,"4;10;8;8;10;8;8;7"
"Fail",1,"2"
"Fail",3,"4;9;7"
"Fail",1,"2"
"Success",7,"8;4;11;6;5;6;8"
"Success",10,"5;8;8;11;9;6;9;10;11;5"
"Fail",1,"3"
"Fail",2,"4;7"
"Fail",3,"5;4;7"
"Success",2,"5;5"
"Fail",2,"6;7"
"Fail",1,"2"
"Success",1,"7"
"Success",1,"7"
"Success",12,"8;10;2;4;11;6;4;10;11;4;6;8"
"Success",1,"11"
"Success",4,"8;4;5;8"
"Success",2,"8;8"
"Success",1,"7"
"Fail",2,"4;7"
"Success",1,"7"
"Success",1,"7"
"Fail",10,"9;5;8;4;4;5;10;5;4;7"
"Fail",16,"6;3;11;3;4;9;5;2;8;8;8;12;11;8;8;7"
"Success",2,"6;6"
"Fail",2,"6;7"
"Success",1,"7"
"Success",3,"6;10;6"
"Success",1,"11"
"Fail",2,"5;7"
"Success",2,"6;6"
"Success",1,"7"
"Success",1,"11"
"Success",1,"11"
"Success",1,"7"
"Fail",5,"10;8;6;6;7"
"Success",1,"11"
"Success",1,"7"
"Success",1,"11"
"Success",2,"4;4"
"Success",6,"8;9;6;10;5;8"
"Fail",4,"5;9;9;7"
"Fail",7,"4;9;8;5;5;3;7"
"Fail",5,"5;10;2;6;7"
"Success",1,"7"
"Success",2,"6;6"
"Fail",2,"9;7"
"Fail",5,"5;4;10;8;7"
"Success",2,"5;5"
"Fail",4,"5;6;6;7"
"Success",2,"9;9"
"Success",5,"9;8;10;8;9"
"Success",1,"7"
"Fail",10,"5;8;8;9;11;4;9;11;6;7"
"Success",6,"4;6;5;6;6;4"
"Fail",7,"10;9;8;11;11;5;7"
"Success",3,"6;11;6"
"Fail",3,"4;3;7"
"Fail",8,"5;9;10;10;8;12;10;7"
"Success",3,"9;4;9"
"Success",1,"7"
"Success",5,"8;9;9;11;8"
"Fail",2,"9;7"
"Success",2,"9;9"
"Success",14,"4;11;9;8;6;9;6;9;8;9;9;6;9;4"
"Fail",4,"6;9;11;7"
"Success",2,"8;8"
"Fail",13,"4;6;3;6;9;10;11;11;5;9;11;5;7"
"Success",2,"4;4"
"Success",15,"4;6;10;6;5;6;8;10;9;3;3;6;5;8;4"
"Fail",2,"8;7"
"Fail",5,"6;2;12;4;7"
"Fail",2,"8;7"
"Fail",3,"8;3;7"
"Success",1,"7"
"Success",3,"4;8;4"
"Fail",10,"6;4;10;9;8;4;5;4;3;7"
"Success",1,"11"
"Fail",11,"10;9;9;6;2;8;5;3;5;9;7"
"Success",1,"7"
"Fail",2,"9;7"
"Success",2,"8;8"
"Fail",3,"5;9;7"
"Fail",1,"12"
"Success",6,"6;10;8;4;10;6"
"Success",3,"6;9;6"
"Success",1,"7"
"Fail",3,"6;9;7"
"Fail",5,"5;6;8;2;7"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Success",2,"6;6"
"Fail",2,"8;7"
"Fail",2,"6;7"
"Success",1,"7"
"Success",1,"7"
"Success",12,"8;11;11;4;6;9;6;5;4;6;5;8"
"Fail",5,"5;8;9;9;7"
"Success",2,"9;9"
"Success",15,"8;10;10;5;6;12;3;4;4;11;6;5;6;5;8"
"Success",1,"7"
"Fail",3,"6;9;7"
"Success",2,"9;9"
"Success",1,"11"
"Success",1,"11"
"Fail",11,"10;8;12;2;4;5;5;6;8;11;7"
"Success",3,"5;11;5"
"Fail",7,"9;8;5;5;3;6;7"
"Fail",1,"3"
"Success",1,"7"
"Success",1,"7"
"Fail",5,"9;5;5;10;7"
"Success",1,"7"
"Fail",2,"9;7"
"Success",1,"7"
"Fail",4,"6;8;9;7"
"Success",1,"7"
"Success",7,"8;6;12;5;9;6;8"
"Success",1,"11"
"Success",2,"10;10"
"Success",1,"7"
"Fail",1,"12"
"Fail",4,"8;4;3;7"
"Success",3,"10;12;10"
"Success",3,"8;5;8"
"Success",2,"10;10"
"Success",1,"7"
"Fail",2,"10;7"
"Fail",3,"10;3;7"
"Success",1,"7"
"Success",2,"10;10"
"Success",10,"9;2;8;10;10;8;3;5;10;9"
"Success",1,"7"
"Fail",6,"8;6;6;6;6;7"
"Fail",2,"6;7"
"Success",2,"8;8"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Fail",10,"5;12;2;9;11;2;3;8;8;7"
"Fail",3,"9;6;7"
"Fail",5,"6;9;5;5;7"
"Fail",12,"10;11;2;6;9;8;4;2;5;6;9;7"
"Fail",8,"9;5;8;10;12;12;11;7"
"Success",6,"8;11;10;3;6;8"
"Success",2,"6;6"
"Fail",2,"8;7"
"Success",1,"7"
"Success",2,"5;5"
"Fail",9,"9;4;6;6;6;11;4;10;7"
"Fail",1,"3"
"Success",1,"11"
"Success",2,"6;6"
"Success",5,"8;9;2;6;8"
"Fail",11,"5;6;6;3;8;12;10;8;10;9;7"
"Fail",1,"2"
"Fail",3,"4;8;7"
"Success",2,"9;9"
"Fail",4,"6;5;4;7"
"Fail",3,"4;9;7"
"Success",3,"6;8;6"
"Fail",1,"2"
"Fail",2,"8;7"
"Fail",2,"6;7"
"Success",1,"11"
"Fail",10,"6;11;4;5;8;12;8;12;10;7"
"Success",1,"7"
"Success",2,"6;6"
"Success",3,"5;4;5"
"Success",2,"8;8"
"Success",1,"7"
"Success",9,"4;9;8;5;6;8;11;8;4"
"Success",1,"7"
"Fail",7,"6;8;9;8;4;11;7"
"Fail",3,"4;5;7"
"Fail",2,"9;7"
